date,symbol,mid,spread_bps,volume
2020-01-01,AAPL,300.4,5,8000
2020-01-01,MSFT,150.25,6,8200
2020-01-02,AAPL,300.8,5,8400
2020-01-02,MSFT,150.5,6,8600
2020-01-03,AAPL,301.2,5,8800
2020-01-03,MSFT,150.75,6,9000
2020-01-04,AAPL,301.6,5,9200
2020-01-04,MSFT,151.0,6,9400
2020-01-05,AAPL,302.0,5,9600
2020-01-05,MSFT,151.25,6,9800
2020-01-06,AAPL,302.4,5,8000
2020-01-06,MSFT,151.5,6,8200
2020-01-07,AAPL,303.8,5,8400
2020-01-07,MSFT,151.75,6,8600
2020-01-08,AAPL,303.2,5,8800
2020-01-08,MSFT,152.0,6,9000
2020-01-09,AAPL,303.6,5,9200
2020-01-09,MSFT,153.25,6,9400
2020-01-10,AAPL,304.0,5,9600
2020-01-10,MSFT,152.5,6,9800
2020-01-11,AAPL,303.4,5,8000
2020-01-11,MSFT,152.75,6,8200
2020-01-12,AAPL,304.8,5,8400
2020-01-12,MSFT,153.0,6,8600
2020-01-13,AAPL,305.2,5,8800
2020-01-13,MSFT,152.25,6,9000
2020-01-14,AAPL,306.6,5,9200
2020-01-14,MSFT,153.5,6,9400
2020-01-15,AAPL,306.0,5,9600
2020-01-15,MSFT,153.75,6,9800
2020-01-16,AAPL,306.4,5,8000
2020-01-16,MSFT,154.0,6,8200
2020-01-17,AAPL,306.8,5,8400
2020-01-17,MSFT,154.25,6,8600
2020-01-18,AAPL,307.2,5,8800
2020-01-18,MSFT,155.5,6,9000
2020-01-19,AAPL,307.6,5,9200
2020-01-19,MSFT,154.75,6,9400
2020-01-20,AAPL,308.0,5,9600
2020-01-20,MSFT,155.0,6,9800
2020-01-21,AAPL,309.4,5,8000
2020-01-21,MSFT,155.25,6,8200
2020-01-22,AAPL,307.8,5,8400
2020-01-22,MSFT,155.5,6,8600
2020-01-23,AAPL,309.2,5,8800
2020-01-23,MSFT,155.75,6,9000
2020-01-24,AAPL,309.6,5,9200
2020-01-24,MSFT,156.0,6,9400
2020-01-25,AAPL,310.0,5,9600
2020-01-25,MSFT,156.25,6,9800
2020-01-26,AAPL,310.4,5,8000
2020-01-26,MSFT,155.5,6,8200
2020-01-27,AAPL,310.8,5,8400
2020-01-27,MSFT,157.75,6,8600
2020-01-28,AAPL,312.2,5,8800
2020-01-28,MSFT,157.0,6,9000
2020-01-29,AAPL,311.6,5,9200
